2026-03-20 15:50:47 install libmd0:armhf <none> 1.0.4-2
2026-03-20 15:50:47 status half-installed libmd0:armhf 1.0.4-2
2026-03-20 15:50:47 status unpacked libmd0:armhf 1.0.4-2
2026-03-20 15:50:47 install libmount1:armhf <none> 2.38.1-5+deb12u3
2026-03-20 15:50:47 status half-installed libmount1:armhf 2.38.1-5+deb12u3
2026-03-20 15:50:47 status unpacked libmount1:armhf 2.38.1-5+deb12u3
2026-03-20 15:50:47 install libnettle8:armhf <none> 3.8.1-2
2026-03-20 15:50:47 status half-installed libnettle8:armhf 3.8.1-2
2026-03-20 15:50:48 status unpacked libnettle8:armhf 3.8.1-2
2026-03-20 15:50:48 install libp11-kit0:armhf <none> 0.24.1-2
2026-03-20 15:50:48 status half-installed libp11-kit0:armhf 0.24.1-2
2026-03-20 15:50:48 status unpacked libp11-kit0:armhf 0.24.1-2
2026-03-20 15:50:48 install libpam-modules:armhf <none> 1.5.2-6+deb12u2
2026-03-20 15:50:48 status half-installed libpam-modules:armhf 1.5.2-6+deb12u2
2026-03-20 15:50:50 status unpacked libpam-modules:armhf 1.5.2-6+deb12u2
2026-03-20 15:50:50 install libpam-modules-bin:armhf <none> 1.5.2-6+deb12u2
2026-03-20 15:50:50 status half-installed libpam-modules-bin:armhf 1.5.2-6+deb12u2
2026-03-20 15:50:50 status unpacked libpam-modules-bin:armhf 1.5.2-6+deb12u2
2026-03-20 15:50:50 install libpam-runtime:all <none> 1.5.2-6+deb12u2
2026-03-20 15:50:50 status half-installed libpam-runtime:all 1.5.2-6+deb12u2
2026-03-20 15:50:51 status unpacked libpam-runtime:all 1.5.2-6+deb12u2
2026-03-20 15:50:51 install libpam0g:armhf <none> 1.5.2-6+deb12u2
2026-03-20 15:50:51 status half-installed libpam0g:armhf 1.5.2-6+deb12u2
2026-03-20 15:50:51 status unpacked libpam0g:armhf 1.5.2-6+deb12u2
2026-03-20 15:50:51 install libpcre2-8-0:armhf <none> 10.42-1
2026-03-20 15:50:51 status half-installed libpcre2-8-0:armhf 10.42-1
2026-03-20 15:50:52 status unpacked libpcre2-8-0:armhf 10.42-1
2026-03-20 15:50:52 install libseccomp2:armhf <none> 2.5.4-1+deb12u1
2026-03-20 15:50:52 status half-installed libseccomp2:armhf 2.5.4-1+deb12u1
2026-03-20 15:50:52 status unpacked libseccomp2:armhf 2.5.4-1+deb12u1
2026-03-20 15:50:52 install libselinux1:armhf <none> 3.4-1+b6
2026-03-20 15:50:52 status half-installed libselinux1:armhf 3.4-1+b6
2026-03-20 15:50:52 status unpacked libselinux1:armhf 3.4-1+b6
2026-03-20 15:50:53 install libsemanage-common:all <none> 3.4-1
2026-03-20 15:50:53 status half-installed libsemanage-common:all 3.4-1
2026-03-20 15:50:53 status unpacked libsemanage-common:all 3.4-1
2026-03-20 15:50:53 install libsemanage2:armhf <none> 3.4-1+b5
2026-03-20 15:50:53 status half-installed libsemanage2:armhf 3.4-1+b5
2026-03-20 15:50:53 status unpacked libsemanage2:armhf 3.4-1+b5
2026-03-20 15:50:53 install libsepol2:armhf <none> 3.4-2.1
2026-03-20 15:50:53 status half-installed libsepol2:armhf 3.4-2.1
2026-03-20 15:50:53 status unpacked libsepol2:armhf 3.4-2.1
2026-03-20 15:50:54 install libsmartcols1:armhf <none> 2.38.1-5+deb12u3
2026-03-20 15:50:54 status half-installed libsmartcols1:armhf 2.38.1-5+deb12u3
2026-03-20 15:50:54 status unpacked libsmartcols1:armhf 2.38.1-5+deb12u3
2026-03-20 15:50:54 install libss2:armhf <none> 1.47.0-2+b2
2026-03-20 15:50:54 status half-installed libss2:armhf 1.47.0-2+b2
2026-03-20 15:50:54 status unpacked libss2:armhf 1.47.0-2+b2
2026-03-20 15:50:55 install libstdc++6:armhf <none> 12.2.0-14+deb12u1
2026-03-20 15:50:55 status half-installed libstdc++6:armhf 12.2.0-14+deb12u1
2026-03-20 15:50:55 status unpacked libstdc++6:armhf 12.2.0-14+deb12u1
2026-03-20 15:50:55 install libsystemd0:armhf <none> 252.39-1~deb12u1
2026-03-20 15:50:55 status half-installed libsystemd0:armhf 252.39-1~deb12u1
2026-03-20 15:50:55 status unpacked libsystemd0:armhf 252.39-1~deb12u1
2026-03-20 15:50:56 install libtasn1-6:armhf <none> 4.19.0-2+deb12u1
2026-03-20 15:50:56 status half-installed libtasn1-6:armhf 4.19.0-2+deb12u1
2026-03-20 15:50:56 status unpacked libtasn1-6:armhf 4.19.0-2+deb12u1
2026-03-20 15:50:56 install libtinfo6:armhf <none> 6.4-4
2026-03-20 15:50:56 status half-installed libtinfo6:armhf 6.4-4
2026-03-20 15:50:56 status unpacked libtinfo6:armhf 6.4-4
2026-03-20 15:50:56 install libudev1:armhf <none> 252.39-1~deb12u1
2026-03-20 15:50:56 status half-installed libudev1:armhf 252.39-1~deb12u1
2026-03-20 15:50:56 status unpacked libudev1:armhf 252.39-1~deb12u1
2026-03-20 15:50:57 install libunistring2:armhf <none> 1.0-2
2026-03-20 15:50:57 status half-installed libunistring2:armhf 1.0-2
